,match_date,competition_name,competition_category,player_name,opponent_name,winner_flag,aces,breakpoints_won,double_faults,first_serve_points_won,first_serve_successful,games_won,max_games_in_a_row,max_points_in_a_row,points_won,points_spread,second_serve_points_won,second_serve_successful,service_games_won,service_points_lost,service_points_won,tiebreaks_won,total_breakpoints,first_serve_win_perc,second_serve_win_perc,breakpoint_conversion_perc,Month
66,2026-01-03,"WTA Auckland, New Zealand Women Singles",WTA,"Ku, Yeon Woo","Charaeva, Alina",1,1,4,1,31,47,12,5,12,58,22,6,6,8,17,37,0,7,65.95744680851064,85.71428571428571,57.14285714285714,January 2026
67,2026-01-03,"WTA Auckland, New Zealand Women Singles",WTA,"Charaeva, Alina","Ku, Yeon Woo",0,0,1,1,13,27,5,2,5,36,-22,6,12,4,21,19,0,1,48.148148148148145,46.15384615384615,100.0,January 2026
68,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Quinn, Ethan","Bonzi, Benjamin",1,10,4,0,40,49,16,3,6,91,17,11,17,11,15,51,0,14,81.63265306122449,64.70588235294117,28.57142857142857,January 2026
69,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Bonzi, Benjamin","Quinn, Ethan",0,7,2,8,44,65,12,3,6,74,-17,15,26,9,40,59,0,2,67.6923076923077,44.11764705882353,100.0,January 2026
70,2026-01-03,United Cup,United Cup,"Jeanjean, Leolia","Bencic, Belinda",0,4,1,3,21,37,6,3,5,40,-23,6,14,5,27,27,0,2,56.75675675675676,35.294117647058826,50.0,January 2026
71,2026-01-03,United Cup,United Cup,"Bencic, Belinda","Jeanjean, Leolia",1,0,4,2,28,36,12,5,11,63,23,8,11,8,13,36,0,6,77.77777777777777,61.53846153846154,66.66666666666666,January 2026
72,2026-01-03,"WTA Auckland, New Zealand Women Singles",WTA,"Semenistaja, Darja","Brace, Cadence",1,1,5,0,39,65,12,4,9,70,16,0,0,7,26,39,0,10,60.0,,50.0,January 2026
73,2026-01-03,"WTA Auckland, New Zealand Women Singles",WTA,"Brace, Cadence","Semenistaja, Darja",0,2,2,0,28,59,6,2,5,54,-16,0,0,4,31,28,0,3,47.45762711864407,,66.66666666666666,January 2026
74,2026-01-03,"WTA Brisbane, Australia Women Singles",WTA,"Zhang, Shuai","Preston, Taylah",1,8,6,5,45,74,16,5,6,88,13,1,1,10,30,46,0,9,60.810810810810814,16.666666666666664,66.66666666666666,January 2026
75,2026-01-03,"WTA Brisbane, Australia Women Singles",WTA,"Preston, Taylah","Zhang, Shuai",0,2,3,3,42,81,10,3,6,75,-13,3,6,7,42,45,0,5,51.851851851851855,33.33333333333333,60.0,January 2026
76,2026-01-03,"WTA Brisbane, Australia Women Singles",WTA,"Sramkova, Rebecca","Rakhimova, Kamilla",1,6,7,3,16,24,12,4,13,56,24,7,11,5,14,23,0,9,66.66666666666667,50.0,77.77777777777779,January 2026
77,2026-01-03,"WTA Brisbane, Australia Women Singles",WTA,"Rakhimova, Kamilla","Sramkova, Rebecca",0,1,2,2,9,30,3,1,5,32,-24,8,15,1,33,18,0,2,30.0,47.05882352941176,100.0,January 2026
78,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"O'Connell, Christopher","Basilashvili, Nikoloz",1,9,4,0,7,11,12,7,12,59,22,4,7,8,7,16,0,6,63.63636363636363,57.14285714285714,66.66666666666666,January 2026
79,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Basilashvili, Nikoloz","O'Connell, Christopher",0,8,1,10,4,6,5,2,4,37,-22,3,8,4,17,12,0,1,66.66666666666667,16.666666666666664,100.0,January 2026
80,2026-01-03,"WTA Auckland, New Zealand Women Singles",WTA,"Chirico, Louisa","Osuigwe, Whitney",0,2,5,4,22,41,9,3,5,73,-10,9,15,4,44,37,0,13,53.65853658536585,47.368421052631575,38.46153846153847,January 2026
81,2026-01-03,"WTA Auckland, New Zealand Women Singles",WTA,"Osuigwe, Whitney","Chirico, Louisa",1,2,7,3,28,56,13,4,6,83,10,5,11,5,36,39,1,14,50.0,35.714285714285715,50.0,January 2026
82,2026-01-03,"WTA Auckland, New Zealand Women Singles",WTA,"Starodubtseva, Yuliia","Ponchet, Jessika",1,0,5,0,26,40,12,5,7,68,17,10,17,7,21,36,0,11,65.0,58.82352941176471,45.45454545454545,January 2026
83,2026-01-03,"WTA Auckland, New Zealand Women Singles",WTA,"Ponchet, Jessika","Starodubtseva, Yuliia",0,6,2,2,22,34,6,2,5,51,-17,8,27,4,32,30,0,7,64.70588235294117,27.586206896551722,28.57142857142857,January 2026
84,2026-01-03,"WTA Brisbane, Australia Women Singles",WTA,"Putintseva, Yulia","Gadecki, Olivia",0,1,4,1,38,70,12,5,8,81,-5,10,19,8,42,48,0,6,54.285714285714285,50.0,66.66666666666666,January 2026
85,2026-01-03,"WTA Brisbane, Australia Women Singles",WTA,"Gadecki, Olivia","Putintseva, Yulia",1,3,5,5,30,41,14,5,7,86,5,14,33,9,33,44,0,14,73.17073170731707,36.84210526315789,35.714285714285715,January 2026
86,2026-01-03,United Cup,United Cup,"Rinderknech, Arthur","Wawrinka, Stan",0,17,2,5,50,61,19,3,8,118,5,32,45,17,29,82,0,4,81.9672131147541,64.0,50.0,January 2026
87,2026-01-03,United Cup,United Cup,"Wawrinka, Stan","Rinderknech, Arthur",1,6,1,2,53,68,19,3,7,113,-5,31,50,16,36,84,2,7,77.94117647058823,59.61538461538461,14.285714285714285,January 2026
88,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Atmane, Terence","Hanfmann, Yannick",1,10,2,0,31,39,13,3,10,67,10,17,24,10,15,48,1,5,79.48717948717949,70.83333333333334,40.0,January 2026
89,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Hanfmann, Yannick","Atmane, Terence",0,10,1,1,36,46,10,2,5,57,-10,6,14,8,19,42,0,2,78.26086956521739,40.0,50.0,January 2026
90,2026-01-03,United Cup,United Cup,Bergs Z / Mertens E,Zhang Z / Zhu L,0,4,5,3,37,55,13,5,8,86,13,12,24,8,33,49,0,9,67.27272727272727,44.44444444444444,55.55555555555556,January 2026
91,2026-01-03,United Cup,United Cup,Zhang Z / Zhu L,Bergs Z / Mertens E,1,3,4,0,29,58,12,5,5,73,-13,11,19,7,37,40,1,6,50.0,57.89473684210527,66.66666666666666,January 2026
92,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Schoolkate, Tristan","Duckworth, James",0,9,0,5,20,26,5,1,5,38,-21,7,19,4,23,27,0,0,76.92307692307692,29.166666666666668,,January 2026
93,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Duckworth, James","Schoolkate, Tristan",1,5,3,2,18,20,12,3,9,59,21,18,25,9,11,36,0,4,90.0,66.66666666666666,75.0,January 2026
94,2026-01-03,"WTA Brisbane, Australia Women Singles",WTA,"Ruse, Elena-Gabriela","Sonmez, Zeynep",1,3,7,7,24,35,15,8,10,77,9,9,5,8,29,41,0,12,68.57142857142857,75.0,58.333333333333336,January 2026
95,2026-01-03,"WTA Brisbane, Australia Women Singles",WTA,"Sonmez, Zeynep","Ruse, Elena-Gabriela",0,1,4,2,25,40,10,4,6,68,-9,8,3,6,36,39,0,7,62.5,160.0,57.14285714285714,January 2026
96,2026-01-03,"WTA Auckland, New Zealand Women Singles",WTA,"Pigossi, Laura","Tagger, Lilli",0,2,4,6,35,68,11,3,5,84,-15,13,0,7,50,48,0,8,51.470588235294116,216.66666666666666,50.0,January 2026
97,2026-01-03,"WTA Auckland, New Zealand Women Singles",WTA,"Tagger, Lilli","Pigossi, Laura",1,7,7,2,37,58,16,5,7,99,15,12,0,9,36,49,0,13,63.793103448275865,600.0,53.84615384615385,January 2026
98,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Hijikata, Rinky","Misolic, Filip",1,11,4,3,32,41,12,5,7,78,15,9,21,8,24,41,0,11,78.04878048780488,37.5,36.36363636363637,January 2026
99,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Misolic, Filip","Hijikata, Rinky",0,5,1,2,25,45,6,1,5,63,-15,14,29,5,37,39,0,7,55.55555555555556,45.16129032258064,14.285714285714285,January 2026
100,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Majchrzak, Kamil","Hewitt, Cruz",1,7,5,6,29,39,13,4,7,70,10,10,18,7,24,39,0,13,74.35897435897436,41.66666666666667,38.46153846153847,January 2026
101,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Hewitt, Cruz","Majchrzak, Kamil",0,3,3,1,29,52,9,2,5,60,-10,7,15,5,31,36,0,5,55.76923076923077,43.75,60.0,January 2026
102,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Halys, Quentin","Spizzirri, Eliot",1,10,2,2,37,45,12,4,6,66,12,11,21,10,20,48,0,5,82.22222222222223,47.82608695652174,40.0,January 2026
103,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Spizzirri, Eliot","Halys, Quentin",0,5,0,3,25,32,7,1,5,54,-12,9,17,5,18,34,0,4,78.125,45.0,0.0,January 2026
104,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Arnaldi, Matteo","Gaston, Hugo",1,10,5,5,54,76,18,3,7,113,7,16,39,8,49,70,1,13,71.05263157894737,36.36363636363637,38.46153846153847,January 2026
105,2026-01-03,"ATP Brisbane, Australia Men Singles",ATP,"Gaston, Hugo","Arnaldi, Matteo",0,4,4,1,45,68,14,3,7,106,-7,12,31,9,43,57,0,14,66.17647058823529,37.5,28.57142857142857,January 2026
106,2026-01-03,United Cup,United Cup,Roger-Vasselin E / Rakotomanga Rajaonah T S,Paul J / Bencic B,0,3,2,4,25,41,9,2,5,55,-10,10,18,7,23,35,0,7,60.97560975609756,45.45454545454545,28.57142857142857,January 2026
