,player_name,total_wins,aces,breakpoints_won,total_breakpoints,double_faults,first_serve_points_won,first_serve_successful,second_serve_points_won,second_serve_successful,points_spread,FS Win %,SS Win %,BP Conv %,Ace Rank,DF Rank,Total Win Rank,Point Spread Rank,FS Win Rank,SS Win Rank,BP Rank,Mean Ranks,Mean Ranks Ranked,last_refreshed
87,"Humbert, Ugo",1,18,6,13,6,73,96,41,66,19,0.7604166666666666,0.6212121212121212,0.46153846153846156,45.0,163.0,93.0,38.5,60.0,46.0,84.5,75.71428571428571,39.0,2026-01-12
88,"Hunter, Storm",1,2,4,10,3,36,45,7,17,15,0.8,0.4117647058823529,0.4,195.0,101.0,93.0,54.5,27.0,206.5,111.0,112.57142857142857,119.0,2026-01-12
89,"Hurkacz, Hubert",4,95,6,23,3,221,267,48,99,39,0.8277153558052435,0.48484848484848486,0.2608695652173913,1.0,101.0,8.0,8.0,12.0,164.0,172.0,66.57142857142857,21.0,2026-01-12
90,"Jarry, Nicolas",0,2,1,3,0,28,46,7,15,-21,0.6086956521739131,0.4666666666666667,0.3333333333333333,195.0,9.5,183.0,192.5,184.0,180.5,140.0,154.92857142857142,187.0,2026-01-12
91,"Jeanjean, Leolia",0,11,2,7,8,48,82,14,33,-42,0.5853658536585366,0.42424242424242425,0.2857142857142857,83.0,183.0,183.0,224.0,192.0,203.0,163.0,175.85714285714286,221.0,2026-01-12
92,"Joint, Maya",0,1,1,3,4,26,60,13,30,-58,0.43333333333333335,0.43333333333333335,0.3333333333333333,209.0,125.5,183.0,227.0,226.0,198.0,140.0,186.92857142857142,226.0,2026-01-12
93,"Jovanovski, Daniel",0,3,1,5,5,30,42,13,28,-16,0.7142857142857143,0.4642857142857143,0.2,176.5,147.0,183.0,170.0,99.5,182.0,190.5,164.07142857142858,204.0,2026-01-12
94,"Kecmanovic, Miomir",0,11,4,13,3,62,90,18,36,-13,0.6888888888888889,0.5,0.3076923076923077,83.0,101.0,183.0,158.5,121.0,152.0,154.0,136.07142857142858,158.0,2026-01-12
95,"Khachanov, Karen",0,12,1,5,1,42,51,12,25,-7,0.8235294117647058,0.48,0.2,74.0,32.0,183.0,128.0,14.5,169.5,190.5,113.07142857142857,120.0,2026-01-12
96,"Klein, Lukas",1,4,3,15,2,39,52,10,26,8,0.75,0.38461538461538464,0.2,161.5,67.0,93.0,83.0,69.5,215.5,190.5,125.71428571428571,142.0,2026-01-12
97,"Kokkinakis, Thanasi",1,15,3,5,1,43,61,24,38,4,0.7049180327868853,0.631578947368421,0.6,61.5,32.0,93.0,99.5,108.5,40.5,34.0,67.0,23.0,2026-01-12
98,"Kopriva, Vit",1,5,5,17,5,55,90,23,43,-9,0.6111111111111112,0.5348837209302325,0.29411764705882354,152.0,147.0,93.0,135.0,182.0,118.0,160.5,141.07142857142858,166.0,2026-01-12
99,"Korda, Sebastian",1,26,5,19,9,101,131,52,85,1,0.7709923664122137,0.611764705882353,0.2631578947368421,21.5,193.0,93.0,106.0,53.0,53.0,171.0,98.64285714285714,88.0,2026-01-12
100,"Kovacevic, Aleksandar",3,58,4,11,14,138,171,65,98,16,0.8070175438596491,0.6632653061224489,0.36363636363636365,5.0,217.5,18.0,50.5,24.0,26.0,127.5,66.92857142857143,22.0,2026-01-12
101,"Krejcikova, Barbora",2,18,11,20,20,91,110,37,66,30,0.8272727272727273,0.5606060606060606,0.55,45.0,223.5,36.0,18.5,13.0,99.0,45.0,68.57142857142857,28.0,2026-01-12
102,"Kym, Jerome",1,6,4,8,0,22,30,11,16,23,0.7333333333333333,0.6875,0.5,139.5,9.5,93.0,32.0,78.0,17.0,66.5,62.214285714285715,15.0,2026-01-12
103,"Kypson, Patrick",1,25,5,12,7,97,134,34,64,-9,0.7238805970149254,0.53125,0.4166666666666667,24.5,174.0,93.0,135.0,89.0,123.5,99.5,105.5,105.0,2026-01-12
104,"Kyrgios, Nick",0,5,0,0,0,23,29,10,17,-13,0.7931034482758621,0.5882352941176471,,152.0,9.5,183.0,158.5,34.0,71.0,,101.33333333333333,94.0,2026-01-12
105,"Lajal, Mark",0,6,1,2,5,37,47,11,22,-13,0.7872340425531915,0.5,0.5,139.5,147.0,183.0,158.5,39.0,152.0,66.5,126.5,145.0,2026-01-12
106,"Lajovic, Dusan",1,6,3,12,3,60,80,16,29,16,0.75,0.5517241379310345,0.25,139.5,101.0,93.0,50.5,69.5,104.5,178.0,105.14285714285714,104.0,2026-01-12
107,"Lamens, Suzan",0,1,3,8,10,38,69,15,31,-40,0.5507246376811594,0.4838709677419355,0.375,209.0,201.0,183.0,222.0,213.0,166.5,123.5,188.28571428571428,227.0,2026-01-12
108,"Landaluce, Martin",0,3,0,0,6,23,38,11,21,-25,0.6052631578947368,0.5238095238095238,,176.5,163.0,183.0,210.5,186.0,130.5,,174.91666666666666,218.0,2026-01-12
109,"Lehecka, Jiri",1,8,3,5,0,50,63,16,25,19,0.7936507936507936,0.64,0.6,111.5,9.5,93.0,38.5,32.5,35.0,34.0,50.57142857142857,5.0,2026-01-12
110,"Loffhagen, George",1,13,0,9,1,45,52,18,32,11,0.8653846153846154,0.5625,0.0,68.5,32.0,93.0,70.0,5.0,97.5,210.0,82.28571428571429,52.0,2026-01-12
111,"Lys, Eva",1,0,13,26,12,65,114,22,44,7,0.5701754385964912,0.5,0.5,221.5,213.5,93.0,87.5,204.0,152.0,66.5,148.28571428571428,178.0,2026-01-12
112,"Machac, Tomas",0,8,0,2,5,50,71,17,33,-19,0.704225352112676,0.5151515151515151,0.0,111.5,147.0,183.0,184.0,110.0,136.0,210.0,154.5,186.0,2026-01-12
113,"Maestrelli, Francesco",0,3,0,6,1,12,22,9,20,-22,0.5454545454545454,0.45,0.0,176.5,32.0,183.0,197.5,215.0,193.5,210.0,172.5,214.0,2026-01-12
114,"Majchrzak, Kamil",3,40,12,36,9,206,260,77,133,37,0.7923076923076923,0.5789473684210527,0.3333333333333333,12.0,193.0,18.0,10.0,35.0,80.5,140.0,69.78571428571429,30.0,2026-01-12
115,"Mannarino, Adrian",0,4,0,1,3,41,63,21,46,-40,0.6507936507936508,0.45652173913043476,0.0,161.5,101.0,183.0,222.0,160.0,188.0,210.0,175.07142857142858,219.0,2026-01-12
116,"Marozsan, Fabian",0,2,0,3,1,21,30,8,18,-10,0.7,0.4444444444444444,0.0,195.0,32.0,183.0,141.0,113.5,195.5,210.0,152.85714285714286,184.0,2026-01-12
117,"Mboko, Victoria",1,18,7,14,10,76,107,27,50,-2,0.7102803738317757,0.54,0.5,45.0,201.0,93.0,114.0,104.0,112.0,66.5,105.07142857142857,103.0,2026-01-12
118,"Medjedovic, Hamad",2,16,7,10,2,58,71,18,32,37,0.8169014084507042,0.5625,0.7,58.0,67.0,36.0,10.0,18.0,97.5,17.0,43.357142857142854,2.0,2026-01-12
119,"Medvedev, Daniil",5,48,20,38,21,169,220,53,90,76,0.7681818181818182,0.5888888888888889,0.5263157894736842,7.5,225.5,2.5,2.0,55.0,70.0,49.0,58.785714285714285,12.0,2026-01-12
120,"Mensik, Jakub",1,25,5,15,11,85,118,34,71,-18,0.7203389830508474,0.4788732394366197,0.3333333333333333,24.5,208.0,93.0,178.5,94.0,171.0,140.0,129.85714285714286,152.0,2026-01-12
121,"Merida, Daniel",1,7,5,9,3,40,59,6,17,5,0.6779661016949152,0.35294117647058826,0.5555555555555556,124.5,101.0,93.0,95.5,132.0,220.0,42.0,115.42857142857143,124.0,2026-01-12
122,"Mertens, Elise",3,26,17,30,11,131,173,68,114,46,0.7572254335260116,0.5964912280701754,0.5666666666666667,21.5,208.0,18.0,4.5,63.0,63.0,39.0,59.57142857142857,13.5,2026-01-12
123,"Michelsen, Alex",3,30,6,22,7,144,201,60,95,16,0.7164179104477612,0.631578947368421,0.2727272727272727,17.5,174.0,18.0,50.5,98.0,40.5,167.5,80.85714285714286,47.0,2026-01-12
124,"Mikrut, Luka",0,3,2,2,2,33,54,19,32,-12,0.6111111111111112,0.59375,1.0,176.5,67.0,183.0,151.5,182.0,65.0,5.5,118.64285714285714,128.0,2026-01-12
125,"Misolic, Filip",1,7,5,20,9,83,120,36,70,-17,0.6916666666666667,0.5142857142857142,0.25,124.5,193.0,93.0,174.5,119.0,137.0,178.0,145.57142857142858,172.0,2026-01-12
126,"Mmoh, Michael",4,48,9,23,15,183,234,56,96,27,0.782051282051282,0.5833333333333334,0.391304347826087,7.5,220.5,8.0,25.0,44.0,77.5,116.0,71.21428571428571,31.5,2026-01-12
127,"Mochizuki, Shintaro",0,9,4,18,20,91,125,46,90,-32,0.728,0.5111111111111111,0.2222222222222222,103.0,223.5,183.0,218.0,88.0,138.0,187.0,162.92857142857142,200.0,2026-01-12
128,"Mpetshi Perricard, Giovanni",2,77,1,6,7,155,196,47,69,-15,0.7908163265306123,0.6811594202898551,0.16666666666666666,3.0,174.0,36.0,165.5,36.0,20.0,196.5,90.14285714285714,75.0,2026-01-12
129,"Muller, Alexandre",1,12,7,8,4,61,90,20,41,-5,0.6777777777777778,0.4878048780487805,0.875,74.0,125.5,93.0,120.5,133.0,163.0,11.0,102.85714285714286,98.0,2026-01-12
130,"Munar, Jaume",1,24,9,20,7,104,133,38,66,29,0.7819548872180451,0.5757575757575758,0.45,27.5,174.0,93.0,21.0,45.0,85.5,92.0,76.85714285714286,42.0,2026-01-12
131,"Musetti, Lorenzo",3,20,12,27,8,161,236,62,94,17,0.6822033898305084,0.6595744680851063,0.4444444444444444,39.0,183.0,18.0,47.0,130.0,27.0,93.5,76.78571428571429,41.0,2026-01-12
132,"Nakashima, Brandon",4,44,10,28,3,145,186,46,84,34,0.7795698924731183,0.5476190476190477,0.35714285714285715,10.0,101.0,8.0,12.5,48.0,107.0,130.5,59.57142857142857,13.5,2026-01-12
133,"Nardi, Luca",0,7,2,6,5,43,63,17,34,-10,0.6825396825396826,0.5,0.3333333333333333,124.5,147.0,183.0,141.0,129.0,152.0,140.0,145.21428571428572,170.0,2026-01-12
134,"Nava, Emilio",3,38,12,32,8,183,251,63,108,31,0.7290836653386454,0.5833333333333334,0.375,15.0,183.0,18.0,17.0,85.0,77.5,123.5,74.14285714285714,37.0,2026-01-12
135,"Navone, Mariano",0,3,2,8,3,31,47,8,24,-14,0.6595744680851063,0.3333333333333333,0.25,176.5,101.0,183.0,163.0,154.0,222.5,178.0,168.28571428571428,210.0,2026-01-12
136,"Neumayer, Lukas",0,6,2,8,2,31,50,22,41,-11,0.62,0.5365853658536586,0.25,139.5,67.0,183.0,147.0,176.0,116.0,178.0,143.78571428571428,169.0,2026-01-12
137,"Nishioka, Yoshihito",1,3,5,9,0,22,34,8,11,18,0.6470588235294118,0.7272727272727273,0.5555555555555556,176.5,9.5,93.0,43.0,163.5,13.0,42.0,77.21428571428571,43.0,2026-01-12
