,player_name,total_wins,aces,breakpoints_won,total_breakpoints,double_faults,first_serve_points_won,first_serve_successful,second_serve_points_won,second_serve_successful,points_spread,FS Win %,SS Win %,BP Conv %,Ace Rank,DF Rank,Total Win Rank,Point Spread Rank,FS Win Rank,SS Win Rank,BP Rank,Mean Ranks,Mean Ranks Ranked,Month,last_refreshed
3363,"Tomljanovic, Ajla",2,3.0,10.0,28.0,12.0,118.0,181.0,10.0,22.0,24.0,0.6519337016574586,0.4545454545454545,0.3571428571428571,2388.5,2381.0,1270.5,657.5,1110.0,2915.0,2870.0,1941.7857142857144,2004.0,February 2026,2026-07-02
3379,"Tomova, Viktoriya",0,0.0,5.0,6.0,5.0,25.0,52.0,6.0,18.0,-10.0,0.4807692307692308,0.3333333333333333,0.8333333333333334,3568.5,1176.5,3127.0,2134.5,3524.5,3608.5,102.5,2463.1428571428573,3116.0,February 2026,2026-07-02
3391,"Tona, Miriana",1,3.0,7.0,20.0,4.0,40.0,83.0,17.0,42.0,3.0,0.4819277108433735,0.4047619047619047,0.35,2388.5,923.0,1982.0,1339.0,3522.0,3332.0,2923.5,2344.285714285714,2884.0,February 2026,2026-07-02
3404,"Townsend, Taylor",4,23.0,18.0,38.0,10.0,151.0,220.0,55.0,92.0,54.0,0.6863636363636364,0.5978260869565217,0.4736842105263157,365.0,2113.0,484.5,231.0,539.0,547.5,1591.0,838.7142857142857,45.0,February 2026,2026-07-02
3421,"Trevisan, Martina",1,0.0,10.0,16.0,12.0,35.0,63.0,11.0,19.0,-18.0,0.5555555555555556,0.5789473684210527,0.625,3568.5,2381.0,1982.0,2791.5,2885.0,759.5,388.0,2107.928571428572,2353.0,February 2026,2026-07-02
3438,"Uchijima, Moyuka",4,21.0,27.0,63.0,28.0,213.0,328.0,85.0,171.0,-9.0,0.649390243902439,0.4970760233918128,0.4285714285714285,445.0,3545.0,484.5,2054.0,1150.5,2319.0,2126.5,1732.071428571429,1545.5,February 2026,2026-07-02
3454,"Udvardy, Panna",1,1.0,4.0,7.0,8.0,62.0,111.0,9.0,13.0,-11.0,0.5585585585585585,0.6923076923076923,0.5714285714285714,3086.0,1796.0,1982.0,2215.0,2857.0,83.0,642.0,1808.7142857142856,1710.0,February 2026,2026-07-02
3470,"Valdez, Nadia",0,0.0,0.0,3.0,1.0,5.0,25.0,3.0,9.0,-34.0,0.2,0.3333333333333333,0.0,3568.5,198.5,3127.0,3581.5,3803.0,3608.5,3691.0,3082.5714285714284,3818.0,February 2026,2026-07-02
3471,"Valdmannova, Vendula",1,5.0,10.0,19.0,6.0,60.0,108.0,28.0,51.0,-4.0,0.5555555555555556,0.5490196078431373,0.5263157894736842,1917.5,1405.5,1982.0,1741.5,2885.0,1257.0,967.5,1736.571428571429,1559.0,February 2026,2026-07-02
3476,"Valentova, Tereza",3,23.0,17.0,41.0,13.0,182.0,273.0,44.0,118.0,0.0,0.6666666666666666,0.3728813559322034,0.4146341463414634,365.0,2509.5,797.0,1490.5,840.5,3499.0,2292.5,1684.857142857143,1448.0,February 2026,2026-07-02
3508,"Vekic, Donna",0,4.0,7.0,20.0,11.0,39.0,67.0,21.0,50.0,-25.0,0.582089552238806,0.42,0.35,2126.5,2249.5,3127.0,3262.5,2483.5,3245.5,2923.5,2774.0,3598.0,February 2026,2026-07-02
3521,"Vickery, Sachia",0,1.0,2.0,6.0,5.0,16.0,33.0,8.0,18.0,-22.0,0.4848484848484848,0.4444444444444444,0.3333333333333333,3086.0,1176.5,3127.0,3090.5,3501.5,3035.5,3064.0,2868.714285714286,3697.5,February 2026,2026-07-02
3528,"Vidmanova, Darja",0,1.0,2.0,4.0,1.0,25.0,44.0,10.0,18.0,-11.0,0.5681818181818182,0.5555555555555556,0.5,3086.0,198.5,3127.0,2215.0,2702.5,1155.5,1254.0,1962.642857142857,2047.0,February 2026,2026-07-02
3541,"Volynets, Katie",4,7.0,29.0,59.0,7.0,193.0,334.0,32.0,63.0,20.0,0.5778443113772455,0.5079365079365079,0.4915254237288136,1559.5,1614.0,484.5,752.5,2551.0,2044.0,1426.0,1490.2142857142858,1008.0,February 2026,2026-07-02
3574,"Waltert, Simona",2,6.0,15.0,33.0,11.0,123.0,204.0,49.0,87.0,-2.0,0.6029411764705882,0.5632183908045977,0.4545454545454545,1727.0,2249.5,1270.5,1623.5,2108.0,1009.0,1795.5,1683.2857142857142,1444.5,February 2026,2026-07-02
